WHO_REGION,region,country,year,percent_incidence,coverage,prev_percent_incidence,prev_coverage
AMR,Caribbean,Saint Kitts and Nevis,2013,0.0,0.99,0.0,0.95
AMR,Caribbean,Saint Lucia,2013,0.0,0.99,0.0,0.99
AMR,Caribbean,Saint Vincent and the Grenadines,2013,0.0,0.99,0.0,0.94
EMR,Western Asia,Saudi Arabia,2013,3.85417063314e-05,0.98,6.10251203127e-07,0.98
EUR,Southern Europe,Serbia,2013,1.23075408303e-06,0.92,1.55857225875e-06,0.87
AFR,Eastern Africa,Seychelles,2013,0.0,0.97,0.0,0.98
WPR,South-Eastern Asia,Singapore,2013,8.88064961952e-06,0.95,1.20765654248e-05,0.95
EUR,Eastern Europe,Slovakia,2013,0.0,0.98,0.0,0.99
EUR,Southern Europe,Slovenia,2013,0.0,0.94,0.0,0.95
EUR,Southern Europe,Spain,2013,4.30522680365e-08,0.95,1.37229860875e-06,0.97
SEAR,Southern Asia,Sri Lanka,2013,1.16947893866e-06,0.99,2.6442253546e-06,0.99
AMR,South America,Suriname,2013,0.0,0.93,0.0,0.73
EUR,Northern Europe,Sweden,2013,0.0,0.98,5.23918997932e-06,0.98
EUR,Western Europe,Switzerland,2013,7.39032753932e-07,0.93,1.24647403657e-06,0.93
EMR,Western Asia,Syrian Arab Republic,2013,5.17528964802e-08,0.58,5.00531564522e-08,0.61
EUR,Central Asia,Tajikistan,2013,0.0,0.92,1.26088617602e-07,0.94
SEAR,South-Eastern Asia,Thailand,2013,7.99093629163e-06,0.99,7.34022758874e-06,0.98
EUR,Southern Europe,TFYR Macedonia,2013,0.0,0.96,1.93304885298e-06,0.96
WPR,Polynesia,Tonga,2013,0.0,0.67,0.0,0.62
AMR,Caribbean,Trinidad and Tobago,2013,0.0,0.91,0.0,0.85
EMR,Northern Africa,Tunisia,2013,1.36292887965e-06,0.94,5.65182029968e-05,0.96
EUR,Western Asia,Turkey,2013,1.0626624496e-06,0.98,5.74488514839e-07,0.96
EUR,Central Asia,Turkmenistan,2013,0.0,0.99,0.0,0.99
AMR,NORTHERN AMERICA,United States of America,2013,2.8378999137e-08,0.92,2.85896288199e-08,0.91
AMR,South America,Uruguay,2013,0.0,0.96,0.0,0.96
AMR,South America,Venezuela (Bolivarian Republic of),2013,0.0,0.85,0.0,0.87
EUR,Southern Europe,Albania,2012,3.47141463618e-07,0.98,1.7324957294e-06,0.99
EUR,Southern Europe,Andorra,2012,0.0,0.98,0.0,0.99
AMR,Caribbean,Antigua and Barbuda,2012,0.0,0.98,0.0,0.99
AMR,South America,Argentina,2012,2.37556663203e-08,0.94,2.40063645674e-08,0.95
EUR,Western Asia,Armenia,2012,3.35757502501e-07,0.97,0.0,0.97
WPR,Australia/New Zealand,Australia,2012,1.5276251365e-06,0.94,2.66165447555e-06,0.94
EUR,Western Europe,Austria,2012,2.72012943085e-06,0.88,2.37429305424e-07,0.84
EUR,Western Asia,Azerbaijan,2012,0.0,0.94,0.0,0.92
AMR,Caribbean,Bahamas,2012,0.0,0.91,0.0,0.9
EMR,Western Asia,Bahrain,2012,2.99944510266e-06,0.99,2.29707276361e-06,0.99
AMR,Caribbean,Barbados,2012,0.0,0.9,0.0,0.93
