"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"countryVal[21]",0.000311465182333333,0.000182862825959469,-5.788675e-06,0.0001399,0.00034,0.0004328,0.000654305,1,1
"countryVal[22]",0.000344561743343333,0.000199727497311901,-3.47199999999999e-06,0.000178575,0.00034975,0.000491725,0.000756429999999999,2.71552408864139,4
"countryVal[23]",0.0003105079014314,0.000182528460469258,-6.28475e-06,0.0001383,0.0003384,0.0004319,0.0006515,1,1
"countryVal[24]",0.000303991029701333,0.000192299360872052,-4.084125e-05,0.00014,0.00033835,0.000433,0.000677427499999999,2.92930563627865,4
"countryVal[25]",0.000291972305174667,0.000183638888009223,-2.359025e-05,0.00013165,0.00031525,0.0004099,0.0006380075,1,1
"countryVal[26]",0.000324276644373333,0.000184255146884519,2.425975e-05,0.000149275,0.00036455,0.000448025,0.0006762025,1,1
"countryVal[27]",0.000466116264533333,0.000199224174532933,0.0001167975,0.00029325,0.0004953,0.0006115,0.0008387075,3.0673853845757,4
"countryVal[28]",0.000291343690816933,0.000183506782794781,-2.380075e-05,0.0001283,0.00031455,0.0004089,0.0006402,1,1
"countryVal[29]",0.000290800599092,0.000182547461021703,-2.26025e-05,0.000128975,0.00031465,0.000408325,0.000642315,1,1
"countryVal[30]",0.000310587905963333,0.000182691847981549,-5.411725e-06,0.000139075,0.0003389,0.0004319,0.00065601,1,1
"countryVal[31]",0.000339478361026667,0.000200896131442216,-2.75075e-06,0.0001731,0.00035625,0.000504525,0.0007430125,2.85772247826945,4
"countryVal[32]",0.000304853494613333,0.000192257219480312,-4.011225e-05,0.000142375,0.0003372,0.000432525,0.000678405,2.91818932497501,4
"countryVal[33]",0.000322856468173333,0.000189917749760909,9.42780000000002e-07,0.0001618,0.0003436,0.0004843,0.0006583075,1,1
"countryVal[34]",0.000327779869291333,0.000184594345413693,2.95255e-05,0.0001528,0.0003723,0.000449925,0.0006767225,1,1
"countryVal[35]",0.0003199917435984,0.000198597245332494,-2.761325e-05,0.0001405,0.0003512,0.000488925,0.0006777,2.95449462969633,4
"countryVal[36]",0.000325333906290707,0.000199360943292255,-2.47215e-05,0.000169575,0.00035545,0.0004679,0.000689805,2.60936423501105,4
"countryVal[37]",0.000313324180291333,0.000185818206870258,2.349025e-06,0.00014105,0.00033715,0.00045,0.0006873025,1,1
"countryVal[38]",0.000291690372732,0.000183229731912255,-2.24005e-05,0.0001295,0.0003165,0.000408525,0.000638205,1,1
"countryVal[39]",0.000304157313637333,0.000191675624382384,-4.007e-05,0.0001405,0.00033625,0.0004323,0.0006810025,2.9188849255537,4
"countryVal[40]",0.000310596452116667,0.000183028974717471,-9.46584999999999e-06,0.00013855,0.00033945,0.0004319,0.000653425,1,1
"countryVal[41]",0.000288585916447333,0.000181999449279412,-2.213025e-05,0.000126375,0.000311,0.000407,0.0006334075,1,1
"countryVal[42]",0.000304784716316667,0.000191492656986278,-4.010075e-05,0.0001427,0.0003384,0.0004322,0.000677415,2.91632900614452,4
"countryVal[43]",0.00046471014156,0.000200426375680489,0.0001146975,0.0002907,0.00049425,0.000611525,0.0008425025,3.07237301675176,4
"countryVal[44]",0.000321099797056,0.000190214272003609,-2.6763e-06,0.0001593,0.0003426,0.0004828,0.00065651,1,1
"countryVal[45]",0.000331152445166667,0.000198547733633469,5.56822500000006e-07,0.0001564,0.0003532,0.000488225,0.0007088175,3.01100663823529,4
"countryVal[46]",0.000323339093944667,0.000183282219962604,2.44695e-05,0.000148575,0.0003627,0.0004468,0.000673405,1,1
"countryVal[47]",0.000320677899006667,0.000189471270671926,1.063875e-06,0.000159275,0.000342,0.000482525,0.000655705,1,1
"countryVal[48]",0.000324624897698667,0.000184826121173141,2.26195e-05,0.00014985,0.00036385,0.0004484,0.0006746025,1,1
"countryVal[49]",0.000289997258049333,0.000183013896857536,-2.5982e-05,0.00012785,0.0003143,0.000408,0.0006399025,1,1
"countryVal[50]",0.000342425425152,0.000199291421209989,-5.332525e-06,0.0001739,0.00034955,0.0004888,0.0007530025,2.77561709446989,4
"countryVal[51]",0.0003395779925,0.000184162893014098,4.490975e-05,0.0001711,0.0003825,0.000456,0.0006826025,2.8753693283296,4
"countryVal[52]",0.000330344847688,0.000189251427020846,-1.091625e-06,0.0001816,0.00034605,0.0004472,0.00072612,2.50527756434683,4
"countryVal[53]",0.000327289097165333,0.000185130873381068,2.75675e-05,0.000151675,0.0003681,0.0004499,0.0006772175,1,1
"countryVal[54]",0.000326716343622667,0.000189549312600856,-3.175025e-06,0.0001739,0.00034435,0.0004454,0.0007179025,2.54962933890795,4
"countryVal[55]",0.000314450435576667,0.000176879259849395,-5.14332499999999e-06,0.000167975,0.00032625,0.0004461,0.0006772,2.58655893442914,4
"countryVal[56]",0.000326696349794667,0.000189208700372356,5.82655e-06,0.0001671,0.0003499,0.000487625,0.00066241,1,1
"countryVal[57]",0.000319579148712667,0.000181454424169379,2.538625e-05,0.000146875,0.0003541,0.0004436,0.0006654175,1,1
"countryVal[58]",0.000322308826914933,0.000190359863402055,2.05772500000001e-07,0.000159675,0.000344,0.0004832,0.0006582025,1,1
"countryVal[59]",0.00031344980448,0.000176841119731785,-6.20715e-06,0.000167775,0.0003259,0.000444225,0.000674605,2.61318519345973,4
"countryVal[60]",0.000330702609253333,0.000198764497371902,-3.42075e-06,0.000156,0.000352,0.0004879,0.0007029,3.00638961945827,4
"countryVal[61]",0.000310963044228067,0.000184565718391127,2.4671e-06,0.0001398,0.00033475,0.0004493,0.0006853025,1,1
"countryVal[62]",0.000341617699354,0.00019816231334178,-2.3206e-05,0.000179975,0.000371,0.0004771,0.0007588025,2.59230351236074,4
"countryVal[63]",0.000306487563224667,0.000192354499350422,-3.969025e-05,0.0001424,0.0003387,0.0004344,0.0006782025,2.9211350200233,4
"countryVal[64]",0.000317363363449333,0.000195577459160699,-1.9082e-05,0.0001523,0.0003573,0.000433025,0.000725405,2.62317381934083,4
"countryVal[65]",0.000342828553504,0.000199649248495557,-3.7452e-06,0.0001749,0.0003506,0.000489425,0.000753005,2.76305212301914,4
"countryVal[66]",0.000340993013640667,0.000203527073369877,-6.5245e-06,0.0001747,0.00035655,0.0005058,0.0007441125,2.73955070757391,4
"countryVal[67]",0.000331952287294667,0.000199181925676477,-1.082325e-06,0.000157575,0.00035175,0.0004885,0.0007009025,2.98489774490609,4
"countryVal[68]",0.000312463226582,0.000189414509471479,-1.269725e-05,0.000157875,0.0003332,0.0004469,0.0007097025,2.51124049346787,4
